,age,education_num,hours_per_week,capital_gain,sex,REL_NotInFam,REL_OtherRelat,REL_OwnChild,REL_Unmarr,REL_Spouse,result_01
91,29,10,50,0,1,1,0,0,0,0,0
92,48,16,60,0,1,0,0,0,0,1,1
93,37,10,48,0,1,0,0,0,0,1,1
94,48,12,40,0,0,0,0,0,1,0,0
95,32,9,40,0,1,0,0,1,0,0,0
96,76,14,40,0,1,0,0,0,0,1,1
97,44,13,60,15024,1,0,0,0,0,1,1
98,47,14,50,0,0,1,0,0,0,0,0
99,20,10,40,0,0,0,0,1,0,0,0
100,29,9,40,0,1,1,0,0,0,0,0
101,32,9,40,7688,1,0,0,0,0,1,1
102,30,7,40,0,1,0,0,1,0,0,0
103,31,9,40,0,0,1,0,0,0,0,0
104,42,9,40,0,1,0,0,0,0,1,0
105,24,13,40,0,1,0,1,0,0,0,0
106,38,15,40,0,1,0,0,0,0,1,1
107,56,9,50,0,1,0,0,0,0,1,1
108,28,10,25,4064,0,0,0,0,0,1,0
109,36,9,40,0,0,0,0,1,0,0,0
110,53,5,50,0,1,0,0,0,0,1,0
111,56,10,50,0,1,0,0,0,0,1,0
112,49,11,40,0,1,0,0,0,0,1,1
113,55,10,56,0,1,0,0,0,0,1,0
114,22,9,41,0,1,1,0,0,0,0,0
115,21,10,40,0,0,0,0,1,0,0,0
116,40,13,60,0,1,0,0,0,0,1,0
117,30,13,40,0,1,0,0,1,0,0,0
118,29,13,50,0,1,0,0,0,0,1,1
119,19,10,35,0,1,0,0,1,0,0,0
120,47,13,40,0,0,0,0,0,0,1,1
121,20,10,28,0,0,0,0,1,0,0,0
122,31,12,40,0,1,0,0,0,0,1,1
123,39,10,40,0,1,1,0,0,0,0,0
124,28,12,60,0,0,1,0,0,0,0,0
125,24,9,40,0,0,1,0,0,0,0,0
126,38,9,35,4386,1,0,0,0,0,1,0
127,37,13,50,0,1,0,0,0,0,1,0
128,46,12,36,0,0,1,0,0,0,0,0
129,38,14,40,0,1,0,0,0,0,1,1
130,43,9,60,0,1,0,0,0,0,1,0
131,27,11,35,0,0,0,0,0,0,1,0
132,20,10,20,0,1,0,0,1,0,0,0
133,49,10,40,0,1,0,0,0,0,1,1
134,61,9,40,0,1,0,0,0,0,1,0
135,27,10,40,0,0,0,0,1,0,0,0
136,19,10,30,0,1,0,0,1,0,0,0
137,45,11,40,0,0,1,0,0,0,0,1
138,70,10,40,0,1,0,1,0,0,0,0
139,31,9,30,0,0,0,0,0,1,0,0
140,22,10,24,0,1,0,0,0,0,1,0
141,36,9,24,0,0,0,0,0,1,0,0
142,64,7,40,0,1,0,0,0,0,1,0
143,47,10,38,0,0,0,0,0,1,0,0
144,34,9,40,0,0,1,0,0,0,0,0
145,33,13,40,0,0,0,1,0,0,0,0
146,21,9,35,0,1,0,0,1,0,0,0
147,48,9,46,0,1,0,0,0,0,1,0
148,23,13,40,0,1,1,0,0,0,0,0
149,71,10,2,0,1,0,0,0,1,0,0
150,29,9,60,0,1,1,0,0,0,0,0
151,42,13,50,0,1,0,1,0,0,0,0
152,25,9,40,0,0,0,0,0,1,0,0
153,44,14,40,0,0,0,0,0,1,0,0
154,28,9,40,0,0,1,0,0,0,0,0
155,45,14,40,0,1,0,0,0,0,1,1
156,36,10,40,0,0,0,0,0,1,0,0
157,39,12,42,0,1,1,0,0,0,0,0
158,46,14,40,0,1,0,0,0,1,0,0
159,18,7,16,0,1,0,0,1,0,0,0
160,66,11,20,0,0,1,0,0,0,0,0
161,27,9,40,0,1,1,0,0,0,0,0
162,28,9,40,0,1,0,0,0,0,1,0
163,51,10,40,0,1,0,0,0,0,1,1
164,27,13,50,0,1,1,0,0,0,0,0
165,28,13,40,0,1,0,0,0,0,1,1
166,27,9,25,0,0,0,0,0,1,0,0
167,21,9,40,0,1,0,0,1,0,0,0
168,34,9,40,0,1,1,0,0,0,0,0
169,18,9,12,0,1,0,0,1,0,0,0
170,33,13,65,0,1,0,0,0,0,1,0
171,44,10,38,0,1,0,0,0,0,1,1
172,43,10,40,0,0,1,0,0,0,0,0
173,30,10,45,0,1,1,0,0,0,0,0
174,40,4,40,0,1,0,0,0,0,1,1
175,37,10,42,0,1,0,0,0,0,1,1
176,34,9,40,0,1,0,0,0,0,1,0
177,41,13,40,0,0,1,0,0,0,0,0
178,31,14,50,0,0,0,0,0,0,1,0
179,58,16,1,0,1,0,0,0,0,1,1
180,38,10,28,0,0,1,0,0,0,0,0
181,24,10,40,0,1,0,0,0,0,1,0
182,41,13,40,0,1,0,0,0,0,1,0
183,47,10,45,0,1,0,0,0,0,1,0
184,41,13,24,0,1,0,0,0,0,1,0
185,23,3,40,0,1,0,1,0,0,0,0
186,36,10,40,0,1,1,0,0,0,0,0
187,40,14,55,14084,0,1,0,0,0,0,1
188,35,14,40,7298,1,0,1,0,0,0,1
189,24,9,40,0,1,1,0,0,0,0,0
190,26,14,40,0,0,1,0,0,0,0,0
191,51,13,50,0,1,0,0,0,0,1,1
192,42,10,40,0,0,1,0,0,0,0,0
193,37,9,35,0,0,0,0,0,1,0,0
194,18,7,40,0,0,0,0,1,0,0,0
195,36,13,36,7298,1,0,0,0,0,1,1
196,35,9,60,0,1,1,0,0,0,0,0
197,58,9,35,15024,0,0,0,0,0,1,1
198,17,7,12,0,0,0,0,1,0,0,0
199,44,9,40,0,1,0,0,0,0,1,0
200,37,9,40,0,1,0,0,0,0,1,1
201,35,10,40,0,0,1,0,0,0,0,0
202,60,9,40,0,1,0,0,0,0,1,0
203,54,4,40,0,1,0,0,0,0,1,1
204,37,13,60,0,1,1,0,0,0,0,1
205,50,12,40,0,0,1,0,0,0,0,0
206,38,13,50,0,1,0,0,0,0,1,0
207,45,13,55,0,1,0,0,0,0,1,0
208,25,6,40,0,1,1,0,0,0,0,0
209,31,10,40,0,1,0,0,0,0,1,0
210,90,9,40,0,1,1,0,0,0,0,0
211,54,9,20,0,1,0,0,0,0,1,0
212,53,1,35,0,0,1,0,0,0,0,0
213,18,9,40,0,0,0,0,1,0,0,0
214,66,9,50,1409,1,0,0,0,0,1,0
215,75,11,20,0,0,1,0,0,0,0,0
216,65,9,40,0,0,1,0,0,0,0,0
217,35,7,40,3674,1,1,0,0,0,0,0
218,41,9,38,0,0,0,0,0,1,0,0
219,25,10,42,0,1,1,0,0,0,0,0
220,33,10,40,0,0,0,1,0,0,0,0
221,28,15,55,0,1,1,0,0,0,0,1
222,59,9,40,0,1,0,0,0,0,1,0
223,40,10,38,0,0,1,0,0,0,0,0
224,41,13,50,0,1,0,0,0,0,1,1
225,38,14,70,0,1,0,0,0,0,1,1
226,23,9,40,0,1,0,0,1,0,0,0
227,40,13,40,0,1,0,0,0,0,1,1
228,41,9,20,0,0,0,0,0,0,1,0
229,24,12,50,0,1,0,0,0,0,1,0
230,38,10,40,0,1,1,0,0,0,0,0
231,56,9,35,0,1,0,0,0,0,1,0
232,58,9,45,0,1,0,0,0,0,1,1
233,32,9,34,0,0,1,0,0,0,0,0
234,40,12,60,0,1,0,0,0,0,1,1
235,45,9,40,0,1,0,0,0,0,1,0
236,41,15,40,0,0,0,0,0,0,1,1
237,42,13,40,0,0,0,0,0,0,1,0
238,59,6,30,0,0,0,0,0,1,0,0
239,19,10,40,0,1,0,0,1,0,0,0
240,58,10,20,0,1,1,0,0,0,0,0
241,42,9,40,0,1,0,0,0,0,1,1
242,20,9,40,0,0,0,0,1,0,0,0
243,32,9,30,0,0,1,0,0,0,0,0
244,45,11,45,0,0,1,0,0,0,0,0
245,50,4,40,0,1,1,0,0,0,0,0
246,36,13,40,0,0,0,0,1,0,0,0
247,45,9,60,0,1,0,0,0,0,1,0
248,17,7,12,0,1,0,0,1,0,0,0
249,59,10,40,4064,1,0,0,0,0,1,0
250,26,7,40,0,1,0,0,0,0,1,0
251,37,10,75,0,1,0,0,0,0,1,1
252,64,9,40,0,1,0,0,0,0,1,1
253,33,13,45,0,0,1,0,0,0,0,0
254,33,9,40,0,0,0,0,0,0,1,1
255,61,9,40,0,1,0,0,0,0,1,1
256,17,5,24,1055,1,0,0,1,0,0,0
257,50,14,98,2407,1,0,0,0,0,1,0
258,27,14,35,0,1,0,0,1,0,0,0
259,30,9,40,0,0,0,0,1,0,0,0
260,43,9,40,0,1,0,0,0,0,1,0
261,44,10,40,7298,1,0,0,0,0,1,1
262,35,10,40,0,0,1,0,0,0,0,0
263,25,10,40,0,0,0,0,1,0,0,0
264,24,10,48,7298,0,0,0,0,0,1,1
265,22,13,15,0,0,1,0,0,0,0,0
266,42,10,40,5178,1,0,0,0,0,1,1
267,34,12,45,0,0,0,0,0,1,0,0
268,60,13,42,0,0,1,0,0,0,0,0
269,21,9,40,0,1,0,0,1,0,0,0
270,57,14,40,15024,1,0,0,0,0,1,1
271,41,15,60,0,1,0,0,0,0,1,1
272,50,10,45,0,1,1,0,0,0,0,0
273,25,13,40,0,0,1,0,0,0,0,0
274,50,4,40,0,1,0,0,0,0,1,0
275,36,13,45,0,1,0,0,0,0,1,0
276,31,9,40,0,0,1,0,0,0,0,0
277,29,13,56,0,1,1,0,0,0,0,0
278,21,10,45,0,1,0,0,1,0,0,0
279,27,13,40,0,0,0,0,0,1,0,0
280,65,9,16,0,1,0,0,0,0,1,0
281,37,13,60,0,0,1,0,0,0,0,0
282,24,9,40,0,1,0,0,1,0,0,0
283,38,9,80,0,1,1,0,0,0,0,0
284,48,13,40,7688,1,0,0,0,0,1,1
285,21,10,25,0,0,1,0,0,0,0,0
286,31,9,45,0,1,0,0,0,0,1,1
287,55,9,40,4386,1,0,0,0,0,1,1
288,24,10,40,0,0,0,0,0,0,1,0
289,43,9,40,0,0,1,0,0,0,0,0
290,26,12,45,0,1,1,0,0,0,0,0
291,46,12,33,0,0,1,0,0,0,0,0
292,35,12,40,0,1,0,0,0,0,1,1
293,41,10,54,0,1,0,0,0,0,1,1
294,26,13,40,0,1,1,0,0,0,0,0
295,34,14,35,7298,1,0,0,0,0,1,1
296,36,13,40,0,0,1,0,0,0,0,1
297,22,10,15,0,1,0,0,1,0,0,0
298,24,10,40,0,1,1,0,0,0,0,0
299,77,10,40,0,1,0,0,0,0,1,0
300,22,3,40,0,0,0,1,0,0,0,0
301,29,10,40,0,0,1,0,0,0,0,0
302,62,9,24,0,0,1,0,0,0,0,0
303,39,9,40,0,1,0,0,0,0,1,0
304,43,10,50,0,1,0,0,0,0,1,0
305,35,9,45,0,1,1,0,0,0,0,0
306,29,7,40,0,0,1,0,0,0,0,0
307,76,14,10,0,1,0,0,0,0,1,0
308,63,9,45,0,1,0,0,0,0,1,0
309,43,10,50,0,0,0,0,0,0,1,1
310,58,9,40,0,1,0,0,0,0,1,0
311,66,9,55,2050,1,1,0,0,0,0,0
312,41,10,45,0,1,1,0,0,0,0,0
313,26,13,40,0,1,1,0,0,0,0,0
314,47,11,40,0,1,1,0,0,0,0,0
315,55,6,40,0,1,0,0,0,0,1,0
316,53,9,40,0,1,0,0,0,0,1,0
317,17,3,48,0,1,0,1,0,0,0,0
318,30,9,40,0,1,0,1,0,0,0,0
319,49,14,60,0,1,1,0,0,0,0,0
320,19,9,30,0,1,0,0,0,1,0,0
321,45,9,40,0,1,0,0,0,0,1,0
322,26,12,40,0,1,1,0,0,0,0,0
323,38,11,40,7298,1,0,0,0,0,1,1
324,36,9,40,7298,1,0,0,0,0,1,1
325,33,9,20,0,1,1,0,0,0,0,0
326,22,10,40,0,0,0,0,1,0,0,0
327,43,13,42,0,1,1,0,0,0,0,0
328,56,12,25,0,1,1,0,0,0,0,0
329,31,13,25,0,1,0,0,1,0,0,0
330,33,13,40,0,1,0,0,0,0,1,1
331,26,9,40,0,1,0,0,0,0,1,0
332,33,13,40,0,1,0,0,0,0,1,1
333,46,7,30,0,1,0,0,0,0,1,0
334,38,9,40,0,1,0,0,0,0,1,1
335,65,7,40,0,1,0,0,0,1,0,0
336,40,11,40,0,1,0,0,0,0,1,1
337,42,9,35,0,0,0,0,0,0,1,0
338,26,5,40,0,1,0,0,0,0,1,0
339,36,6,24,0,0,0,0,0,0,1,0
340,62,14,40,0,1,0,0,0,0,1,1
341,43,13,45,0,1,0,0,0,0,1,0
342,43,13,45,0,1,1,0,0,0,0,1
343,22,9,55,0,1,1,0,0,0,0,0
344,28,9,40,0,1,0,0,0,0,1,0
345,56,10,45,0,1,0,0,0,0,1,0
346,22,12,15,0,0,1,0,0,0,0,0
347,57,13,45,0,0,1,0,0,0,0,1
348,39,9,40,0,0,0,0,0,1,0,0
349,26,10,15,0,0,0,0,0,1,0,0
350,17,7,10,0,1,0,0,1,0,0,0
351,40,11,38,0,1,0,0,0,0,1,1
352,45,9,40,0,1,0,0,0,0,1,0
353,44,9,40,0,1,1,0,0,0,0,0
354,20,10,10,0,0,0,0,1,0,0,0
355,33,9,40,0,0,0,0,0,0,1,0
356,23,10,40,0,1,1,0,0,0,0,0
357,46,14,30,0,1,1,0,0,0,0,0
358,38,9,50,0,1,0,0,0,0,1,0
359,54,9,40,0,1,1,0,0,0,0,0
360,46,3,45,0,0,1,0,0,0,0,0
361,25,10,40,0,1,0,0,0,0,1,0
362,46,10,40,0,0,1,0,0,0,0,0
363,36,10,40,0,0,0,0,0,0,1,0
364,23,9,25,0,0,1,0,0,0,0,0
365,29,9,40,0,1,1,0,0,0,0,0
366,44,10,6,0,0,0,0,0,0,1,1
367,19,10,16,0,0,0,0,1,0,0,0
368,19,9,40,0,0,0,1,0,0,0,0
369,35,9,40,0,0,0,0,0,0,1,1
370,27,13,50,0,1,1,0,0,0,0,0
371,46,12,40,0,1,1,0,0,0,0,0
372,34,13,45,7688,1,0,0,0,0,1,1
373,34,9,35,0,0,1,0,0,0,0,0
374,44,10,40,0,1,0,0,0,0,1,0
375,45,10,40,0,0,0,0,0,1,0,0
376,25,13,55,0,1,0,0,0,0,1,1
377,52,13,50,0,1,0,0,0,0,1,1
378,20,10,40,0,1,0,0,1,0,0,0
379,28,10,40,0,0,1,0,0,0,0,0
380,50,13,40,0,1,0,0,0,0,1,1
381,34,11,64,0,0,1,0,0,0,0,0
382,28,4,40,0,1,0,0,0,0,1,0
383,41,14,65,0,1,0,0,0,0,1,1
384,28,9,40,0,1,0,0,0,0,1,0
385,46,9,25,0,1,0,0,0,0,1,0
386,32,10,50,0,1,0,0,0,0,1,0
387,41,10,24,0,0,1,0,0,0,0,0
388,24,9,40,0,0,0,0,0,1,0,0
389,33,10,40,0,0,0,0,0,1,0,0
390,46,16,60,15024,1,0,0,0,0,1,1
391,31,10,40,0,1,0,0,0,0,1,0
392,35,8,50,0,1,1,0,0,0,0,1
393,52,2,40,0,1,0,0,0,0,1,0
394,30,7,19,0,0,0,0,1,0,0,0
395,34,7,40,0,1,1,0,0,0,0,0
396,34,9,40,0,0,0,0,0,1,0,0
397,20,10,30,0,1,0,0,0,0,1,0
398,17,7,18,2176,1,0,0,1,0,0,0
399,32,13,40,0,0,0,0,0,0,1,1
400,29,9,40,0,1,1,0,0,0,0,0
401,33,6,35,0,0,0,0,0,1,0,0
402,25,9,60,0,1,0,0,0,0,1,0
403,36,14,40,0,1,1,0,0,0,0,0
404,23,9,72,0,1,1,0,0,0,0,0
405,63,9,40,0,1,0,0,0,0,1,1
406,47,14,40,0,1,0,0,0,0,1,0
407,40,13,40,2174,0,1,0,0,0,0,0
408,30,12,25,0,0,0,0,0,0,1,1
409,27,10,40,0,1,0,0,1,0,0,0
410,33,14,50,0,1,0,0,0,0,1,1
411,34,9,60,594,1,1,0,0,0,0,0
412,34,10,40,0,0,1,0,0,0,0,0
413,23,10,40,0,1,0,0,0,0,1,0
414,42,10,40,0,0,0,0,0,0,1,0
415,29,13,40,0,1,1,0,0,0,0,0
416,45,9,28,0,0,1,0,0,0,0,0
417,24,9,40,0,1,0,0,1,0,0,0
418,44,10,40,0,1,0,0,0,0,1,1
419,27,5,40,0,1,0,1,0,0,0,0
420,20,10,35,0,1,1,0,0,0,0,0
421,44,9,40,0,0,0,0,0,1,0,0
422,51,9,40,0,1,0,0,0,0,1,0
423,20,9,40,0,1,0,0,0,0,1,0
424,19,9,40,0,0,0,0,1,0,0,0
425,45,10,55,0,1,0,0,0,0,1,1
426,60,9,40,0,1,0,0,0,0,1,1
427,42,12,40,0,1,0,0,0,0,1,1
428,44,9,40,0,0,0,0,0,0,1,1
429,40,11,40,0,1,0,0,0,0,1,1
430,30,9,40,0,0,0,0,0,0,1,0
431,38,10,50,0,1,0,0,0,0,1,0
432,23,9,60,0,1,0,0,0,0,1,0
433,44,12,40,0,1,0,0,1,0,0,0
434,54,9,40,0,1,0,0,0,0,1,0
435,32,13,50,0,1,0,0,0,0,1,0
436,50,2,40,0,1,0,0,0,1,0,0
437,24,13,20,0,0,1,0,0,0,0,0
438,37,9,60,0,0,0,0,0,0,1,0
439,52,9,40,0,1,0,0,0,1,0,0
440,38,10,40,0,1,0,0,0,0,1,0
441,49,14,45,0,1,0,0,0,0,1,1
442,30,13,16,0,0,0,0,0,0,1,1
443,60,10,40,0,1,0,0,0,1,0,1
444,35,9,40,0,1,1,0,0,0,0,0
445,30,9,60,0,1,1,0,0,0,0,0
446,67,11,24,0,0,1,0,0,0,0,0
447,46,13,40,0,0,1,0,0,0,0,0
448,17,5,6,0,1,1,0,0,0,0,0
449,22,10,30,0,1,0,0,1,0,0,0
450,27,6,40,0,1,1,0,0,0,0,0
451,23,9,35,0,0,0,0,0,1,0,0
452,33,12,45,0,1,0,0,0,0,1,0
453,43,10,20,0,1,0,0,0,0,1,0
454,28,13,20,0,1,1,0,0,0,0,0
455,41,9,40,0,0,0,0,0,1,0,0
456,25,10,20,0,0,0,0,1,0,0,0
457,59,9,45,0,1,0,0,0,0,1,0
458,45,13,40,0,0,0,0,0,1,0,0
459,38,13,60,15024,1,0,0,0,0,1,1
460,40,9,35,0,0,1,0,0,0,0,0
461,46,9,40,0,1,1,0,0,0,0,0
462,35,12,60,0,0,1,0,0,0,0,0
463,34,9,25,0,0,0,0,0,1,0,0
464,33,13,20,0,1,0,0,1,0,0,0
465,41,9,36,0,0,0,0,0,1,0,0
466,20,10,40,0,1,0,0,1,0,0,0
467,23,3,40,0,1,0,0,1,0,0,0
468,26,10,35,0,0,1,0,0,0,0,0
469,23,9,40,0,1,1,0,0,0,0,0
470,62,9,40,0,1,0,0,0,0,1,0
471,52,10,40,0,1,0,0,0,0,1,0
472,58,10,42,0,0,0,0,0,1,0,0
473,25,13,40,0,0,1,0,0,0,0,0
474,24,13,40,0,1,1,0,0,0,0,0
475,19,10,8,0,1,0,0,1,0,0,0
476,43,10,40,0,1,0,0,0,0,1,0
477,47,9,40,0,0,0,0,0,1,0,0
478,39,9,40,0,0,0,0,0,1,0,0
479,49,11,42,0,1,0,0,0,1,0,0
480,32,11,45,0,1,1,0,0,0,0,0
481,34,10,50,0,1,0,0,0,0,1,1
482,28,9,45,0,1,1,0,0,0,0,0
483,25,10,20,0,0,1,0,0,0,0,0
484,34,13,50,0,1,0,0,0,0,1,1
485,38,13,80,15024,1,0,0,0,0,1,1
486,50,9,50,7688,1,0,0,0,0,1,1
487,24,10,50,0,1,1,0,0,0,0,0
488,37,10,45,0,1,0,0,0,0,1,1
489,44,10,58,0,1,0,0,0,1,0,1
490,28,10,40,0,0,0,0,0,0,1,0
491,42,13,40,0,1,0,0,0,0,1,1
492,74,10,9,0,0,1,0,0,0,0,0
493,38,9,50,0,1,0,0,0,0,1,0
494,44,14,40,0,1,0,0,0,0,1,0
495,44,7,46,0,0,0,0,0,1,0,0
496,26,9,40,0,1,1,0,0,0,0,0
497,36,9,40,0,1,0,0,0,0,1,0
498,41,12,50,0,0,0,0,0,0,1,1
499,67,15,48,20051,1,0,0,0,0,1,1
500,39,8,50,0,1,0,0,0,0,1,0
501,57,2,30,0,0,1,0,0,0,0,0
502,29,11,40,0,1,1,0,0,0,0,0
503,31,13,45,0,0,1,0,0,0,0,0
504,44,10,40,0,1,0,0,0,0,1,0
505,29,16,40,0,1,0,0,1,0,0,0
506,30,10,40,0,0,0,0,0,1,0,0
507,27,9,40,0,1,1,0,0,0,0,0
508,27,10,50,0,1,0,0,0,0,1,0
509,32,9,45,0,0,1,0,0,0,0,0
510,58,6,8,0,0,0,0,0,0,1,0
511,35,10,40,0,1,0,0,0,0,1,0
512,21,9,36,0,1,0,0,1,0,0,0
513,28,10,40,0,1,0,0,0,1,0,0
514,46,10,50,0,1,1,0,0,0,0,0
515,36,9,40,0,0,0,0,0,1,0,0
516,72,7,40,0,0,0,0,0,1,0,0
517,35,9,40,0,0,0,0,0,0,1,0
518,33,11,40,0,0,0,0,0,1,0,1
519,69,7,40,0,0,1,0,0,0,0,0
520,35,9,40,0,1,0,0,0,0,1,0
521,31,9,20,0,0,0,0,0,1,0,0
522,34,9,32,0,0,0,0,0,0,1,0
523,30,7,40,0,1,0,0,0,0,1,0
524,28,13,55,0,1,1,0,0,0,0,0
525,54,13,35,0,1,0,0,0,0,1,1
526,47,10,50,0,1,0,0,0,0,1,1
527,24,9,40,0,0,0,0,0,1,0,0
528,52,13,60,0,1,0,0,0,0,1,1
529,20,9,48,0,1,0,0,1,0,0,0
530,43,14,45,5013,1,0,0,0,0,1,0
531,45,4,40,0,0,0,0,0,1,0,0
532,29,9,35,0,1,1,0,0,0,0,0
533,47,14,42,0,1,0,0,0,1,0,0
534,24,9,40,0,1,0,0,1,0,0,0
535,51,9,40,0,1,0,0,0,0,1,0
536,17,7,12,0,1,0,0,1,0,0,0
537,37,11,40,0,1,0,0,0,0,1,1
538,27,16,70,0,0,1,0,0,0,0,0
539,29,13,40,0,1,0,0,0,0,1,1
540,36,12,35,0,0,0,0,0,1,0,0
541,58,13,40,0,0,1,0,0,0,0,0
542,26,10,45,0,1,0,0,0,0,1,0
543,57,9,40,0,1,0,0,0,0,1,1
544,59,9,40,0,1,0,0,0,0,1,0
545,27,9,40,0,1,0,0,0,0,1,0
546,31,13,40,0,1,1,0,0,0,0,0
547,21,10,24,0,0,0,0,1,0,0,0
548,29,10,60,0,1,1,0,0,0,0,0
549,18,7,40,0,1,0,0,1,0,0,0
550,52,6,47,0,1,0,0,0,0,1,1
551,57,13,80,0,1,1,0,0,0,0,0
552,60,4,48,0,1,1,0,0,0,0,1
553,31,13,40,7688,1,0,0,0,0,1,1
554,23,13,40,0,0,0,0,1,0,0,0
555,27,9,40,0,1,0,0,1,0,0,0
556,42,15,50,0,1,0,0,0,0,1,1
557,25,10,40,2174,1,1,0,0,0,0,0
558,49,13,45,0,0,1,0,0,0,0,0
559,32,13,40,0,1,1,0,0,0,0,0
560,19,10,28,0,1,0,0,1,0,0,0
561,60,4,40,0,0,1,0,0,0,0,0
562,42,5,40,0,1,0,0,0,0,1,0
563,35,12,40,0,1,1,0,0,0,0,0
564,48,9,37,0,0,0,0,0,1,0,0
565,51,14,40,0,1,0,0,0,0,1,1
566,29,9,40,0,1,1,0,0,0,0,0
567,36,9,40,0,1,1,0,0,0,0,0
568,17,6,21,0,0,0,0,1,0,0,0
569,52,14,60,6849,0,1,0,0,0,0,0
570,24,9,40,0,1,1,0,0,0,0,0
571,24,9,50,0,1,0,0,0,0,1,0
572,26,13,40,1055,1,0,0,1,0,0,0
573,27,13,20,0,0,0,0,1,0,0,0
574,39,9,60,0,1,0,0,1,0,0,0
